img1_path,img2_path,label
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Claire_Leger\Claire_Leger_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Bruce_Gebhardt\Bruce_Gebhardt_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Shanna_Zolman\Shanna_Zolman_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Michael_Donovan\Michael_Donovan_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Andrea_Kiser\Andrea_Kiser_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Shane_Warne\Shane_Warne_0002.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Carlos_Ghosn\Carlos_Ghosn_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Carlos_Ghosn\Carlos_Ghosn_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Ray_Bradbury\Ray_Bradbury_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\George_Plimpton\George_Plimpton_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Tubby_Smith\Tubby_Smith_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Maria_Bello\Maria_Bello_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\JJ_Redick\JJ_Redick_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Eli_Stutsman\Eli_Stutsman_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mickey_Rooney\Mickey_Rooney_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Malak_Habbak\Malak_Habbak_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mary_Steenburgen\Mary_Steenburgen_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Shireen_Amir_Begum\Shireen_Amir_Begum_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jose_Maria_Aznar\Jose_Maria_Aznar_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Jose_Maria_Aznar\Jose_Maria_Aznar_0022.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Elisabeth_Schumacher\Elisabeth_Schumacher_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Elisabeth_Schumacher\Elisabeth_Schumacher_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Emily_Stevens\Emily_Stevens_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\John_McKay\John_McKay_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Intisar_Ajouri\Intisar_Ajouri_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Intisar_Ajouri\Intisar_Ajouri_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Queen_Sofia\Queen_Sofia_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Bernard_Kerik\Bernard_Kerik_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Edwin_Edwards\Edwin_Edwards_0003.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Edwin_Edwards\Edwin_Edwards_0001.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Lena_Olin\Lena_Olin_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Margie_Puente\Margie_Puente_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Hamid_Karzai\Hamid_Karzai_0018.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Richard_Sterner\Richard_Sterner_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Simon_Larose\Simon_Larose_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Aparna_Pillai\Aparna_Pillai_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Elizabeth_Smart\Elizabeth_Smart_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mercedes_Amor\Mercedes_Amor_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Andrew_Shutley\Andrew_Shutley_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Steve_Cox\Steve_Cox_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Deniz_Baykal\Deniz_Baykal_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Dwayne_Wade\Dwayne_Wade_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Kim_Yong-il\Kim_Yong-il_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Javier_Saviola\Javier_Saviola_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Marieta_Chrousala\Marieta_Chrousala_0002.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Marieta_Chrousala\Marieta_Chrousala_0003.npy,1
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Mike_Cunning\Mike_Cunning_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Leisel_Jones\Leisel_Jones_0001.npy,0
TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Aron_Ralston\Aron_Ralston_0001.npy,TrainingSet\lfw-deepfunneled\lfw-deepfunneled\Brandon_Larson\Brandon_Larson_0001.npy,0
